message,label
"Act fast! Get your exclusive rewards now.",spam
"Thanks for the notes from class.",not spam
"Upgrade your phone plan with this limited-time offer!",spam
"Do you have the notes from yesterday’s lecture?",not spam
"You've qualified for free health insurance. Click to claim!",spam
"I'll be at the front gate by 4 PM.",not spam
"Earn rewards by filling out this short form.",spam
"Shall we go over the group project today?",not spam
"Alert: Your loan eligibility is about to expire.",spam
"I think I left my charger at your place.",not spam
"Complete the form now to receive your bonus!",spam
"Did you get the email from the professor?",not spam
"Your bank account is eligible for a cashback!",spam
"I'll send the final draft before 5 PM.",not spam
"You're invited to our VIP experience event!",spam
"Let’s meet at the cafeteria for lunch.",not spam
"Limited-time deal: Free device upgrade!",spam
"Can you help me move my books today?",not spam
"Join today and receive free monthly benefits!",spam
"Let me know if you’re joining the zoom call.",not spam
"Pre-approved offer: Zero-interest loan!",spam
"I saved your seat in the library.",not spam
"Your Amazon gift card is waiting!",spam
"Would you like to rehearse before the event?",not spam
"Get a free consultation now!",spam
"Can you forward me the class schedule?",not spam
"Your mobile plan includes a free upgrade!",spam
"Let’s catch up over coffee.",not spam
"Click here to receive your surprise bonus!",spam
"I shared the files via Google Drive.",not spam
"Congratulations! You’ve earned a reward.",spam
"Let’s revise the chapter before the test.",not spam
"You've been chosen for an exciting prize!",spam
"Do you have any extra printer paper?",not spam
"Free home delivery on your next order!",spam
"Can you check this draft for me?",not spam
"Act now! Complete the payment to confirm.",spam
"Do you want to work on the presentation together?",not spam
"Win a gift hamper worth ₹5,000!",spam
"I’m printing your assignment now.",not spam
"Access premium content for free—sign up!",spam
"Are you going to the seminar today?",not spam
"Instant approval for your loan!",spam
"Let’s finalize the event details today.",not spam
"Click here to unlock free Wi-Fi access!",spam
"I left your notes on your desk.",not spam
"Exclusive access to online workshops—register now!",spam
"Can you help me review this spreadsheet?",not spam
"Get verified today and earn points!",spam
"Let’s catch up in the evening.",not spam
"Alert! Your system is at risk. Scan now.",spam
"Your package qualifies for free shipping!",spam
"Meet me at the front of the library.",not spam
"Limited seats available! Book now!",spam
"Are you free to practice at 5?",not spam
"You're entitled to 6 months of free service!",spam
"Let’s grab food after the meeting.",not spam
"Click to confirm your account security.",spam
"I made copies of the slides for you.",not spam
"Double your data—special weekend offer!",spam
"Can you help me install this software?",not spam
"One-time deal: Free groceries for a year!",spam
"I shared the presentation notes already.",not spam
"Secure your wallet with this app.",spam
"Are you still in the lab?",not spam
"Congratulations! You have been promoted to premium user.",spam
"Send me the updated version when you’re done.",not spam
"Receive exclusive tips to improve productivity!",spam
"Meet me at the corner cafe at 3.",not spam
"Get ₹2,000 off your next bill!",spam
"I found the book you were looking for.",not spam
"Save more by joining our elite group!",spam
"Let’s start the assignment today.",not spam
"Claim your shopping bonus before it expires!",spam
"Your seat is confirmed for the guest lecture.",not spam
"Download the bonus pack now!",spam
"Send me the attendance sheet.",not spam
"Win daily prizes in our mega contest!",spam
"I’ve emailed you the PDF version.",not spam
"Limited-time coupon code just for you!",spam
"Want to meet in the study room at 6?",not spam
"Win ₹10,000 worth of shopping vouchers!",spam
"I’ll explain the solution after class.",not spam
"Free recharge offer ends today!",spam
"See you in the main hall at 9 AM.",not spam
"Click now to get 1-year free streaming!",spam
"Don’t forget to bring your ID.",not spam
"Get expert consultation with no cost!",spam
"Join me in the project room at 4.",not spam
"You’ve been randomly selected for a prize draw!",spam
"Send me the video file please.",not spam
"Your order is delayed—click to track.",spam
"Thanks for sharing the quiz answers.",not spam
"Get 100% cashback on your subscription!",spam
"Don’t forget to revise the formulas.",not spam
"Urgent: Renew your license now!",spam
"I uploaded the group photos yesterday.",not spam
"Exclusive access granted—sign in now!",spam
"Meet me by the elevator.",not spam
"Your card is eligible for extra benefits.",spam
"I picked up the assignment from the office.",not spam
"Free 3-month gym membership inside!",spam
"I’m leaving for class—see you soon.",not spam
"Win ₹25,000 with our instant lucky draw!",spam
"Are you available for group study today?",not spam
"Special cashback rewards on your next trip!",spam
"I highlighted the errors in red.",not spam
"Click here for instant recharge bonus!",spam
"Let’s finish the presentation slides tonight.",not spam
"Earn rewards every time you shop online!",spam
"Send me the edited document by evening.",not spam
"Urgent alert: Account error detected!",spam
"I’ll call you once the meeting ends.",not spam
"Join our partner program and earn big!",spam
"Have you updated your resume yet?",not spam
"Download now and get free cloud storage!",spam
"Will you be joining the farewell dinner?",not spam
"Unlock premium status with one click!",spam
"I’m done printing the lab report.",not spam
"Win free data for a year—act now!",spam
"Let’s rehearse the skit once more.",not spam
"Get coupons worth ₹5,000 instantly!",spam
"Submit the assignment before midnight.",not spam
"Special training offer—register today!",spam
"I emailed the attendance report.",not spam
"Click here for a free subscription to our newsletter!",spam
"Don’t forget to attach your CV.",not spam
"Congratulations! You unlocked a mystery box!",spam
"I’ll bring my laptop for the demo.",not spam
"Get an extra ₹500 on referral sign-ups!",spam
"I created a backup on the USB drive.",not spam
"Free online assessment for your dream job!",spam
"See you at the entrance by 8.",not spam
"Join the contest and win flight tickets!",spam
"Can you stay after class for a bit?",not spam
"Get expert trading tips daily—join free!",spam
"I shared the quiz results via email.",not spam
"Your lucky spin awaits—try now!",spam
"Don’t forget your water bottle!",not spam
"Congratulations! Your loan has been cleared.",spam
"I added the final version to the folder.",not spam
"Win exclusive passes to top concerts!",spam
"Shall we revise together for tomorrow’s test?",not spam
"Urgent security alert—verify now!",spam
"Thanks for editing my report.",not spam
"Your payment failed—click here to resolve.",spam
"I left your notebook in the locker.",not spam
"Check your eligibility for home loan offers!",spam
"Can we meet at the seminar room?",not spam
"Claim your online gift pack today!",spam
"I uploaded the draft to the shared drive.",not spam
"Double rewards for all online purchases today!",spam
"Can you bring the calculator?",not spam
"Get 24x7 tech support with our plan!",spam
"Let’s finish the report before 7.",not spam
"Claim your prize by midnight!",spam
"I’m in the library near the main door.",not spam
"Earn cashback while paying rent online!",spam
"Can you review my slide deck?",not spam
"Special deal: ₹999 for premium membership!",spam
"I’ll meet you outside the bookstore.",not spam
"Final notice! Your electricity bill is pending. Pay now to avoid disconnection.",spam
"Can we switch our meeting to 11 AM instead?",not spam
"Act now! Your free laptop is waiting. Limited stock.",spam
"I’ve packed the snacks for the trip.",not spam
"Flash sale ends tonight! Shop your favorites now.",spam
"Don’t forget to bring your ID for the exam.",not spam
"Get expert investment advice now. Join our free webinar!",spam
"Shall we practice for the debate after lunch?",not spam
"Update required: Your account settings need verification.",spam
"I bought the tickets for Friday’s movie.",not spam
"Grab your ₹1000 voucher inside this email.",spam
"Did you see my message in the group chat?",not spam
"Pre-qualified for a gold credit card. Apply today!",spam
"I’ll meet you at the auditorium before the event.",not spam
"Join now and get double the rewards this month.",spam
"I’ve printed your report and left it on your desk.",not spam
"Exclusive: Your free samples are ready to ship!",spam
"Let’s complete the lab report by today.",not spam
"Verify your number to win exclusive rewards!",spam
"I’ll bring the markers and glue sticks.",not spam
"Download the latest app version and win prizes!",spam
"I’ve booked the study room for us at 5.",not spam
"Get a ₹500 gift card for every referral!",spam
"I’m on my way to pick you up.",not spam
"You've been selected to join our elite program!",spam
"Don’t forget to bring the group registration form.",not spam
"Click to receive your lucky draw entry!",spam
"Please submit your ID proof by tomorrow.",not spam
"Limited-time: Premium service for just ₹49!",spam
"Let’s meet at the library entrance.",not spam
"Your insurance quote is ready. View now!",spam
"I saved the presentation on your USB drive.",not spam
"Unlock the best deals on electronics. Click here!",spam
"Do you have your hall ticket for the test?",not spam
"Claim your discount on your next electricity bill!",spam
"I emailed the assignment file.",not spam
"Tap to receive your shopping reward points!",spam
"Let’s prepare for the science quiz tomorrow.",not spam
"Flash offer: 30% off on all subscriptions!",spam
"Bring your umbrella—it looks like it’ll rain.",not spam
"Urgent: Account breach detected. Reset password!",spam
"See you at the club meeting after class.",not spam
"Your chance to win a MacBook is here!",spam
"Don’t forget to collect your lab results.",not spam
"Book your dream vacation now and save ₹5000!",spam
"Meet me in the cafeteria near the back tables.",not spam
"Tap to install and get 2GB data free!",spam
"I submitted the forms before noon.",not spam
"You've got early access to our biggest sale!",spam
"Let’s revise those formulas again tonight.",not spam
"Final call: Enroll now for exclusive mentorship!",spam
"Can you bring your laptop to class?",not spam
"Free movie tickets if you join our survey.",spam
"I'll grab coffee for both of us.",not spam
"Click here to upgrade your banking experience!",spam
"I shared the link in the group chat.",not spam
"Claim your Diwali cashback today!",spam
"Do you want to walk to class together?",not spam
"Upgrade now and skip the ads forever!",spam
"I’ll message you after I reach home.",not spam
"Your free data pack has been activated!",spam
"Did you submit your scholarship application?",not spam
"Act quickly! Your cashback is waiting.",spam
"Let’s revise chapter 7 again.",not spam
"Get bonus cash in your wallet instantly!",spam
"I just emailed you the attendance list.",not spam
"Join our platinum rewards club today!",spam
"I’ll return your charger tomorrow.",not spam
"Special offer: Get ₹200 off your next fuel purchase.",spam
"Are you done with your part of the project?",not spam
"Win concert tickets—only for today!",spam
"I reserved two seats for us at the event.",not spam
"Click here to activate your gift balance.",spam
"Let’s finalize the PowerPoint slides by tonight.",not spam
"Complete your profile to unlock new features!",spam
"I brought the lab coats and materials.",not spam
"Get 3 extra months free on any plan!",spam
"Do you need help submitting the form?",not spam
"Apply now to get lifetime free banking!",spam
"I’ve added the citations to your document.",not spam
"Instant 10% cashback on mobile recharge!",spam
"Meet me at the front gate after class.",not spam
"Your reward code expires in 2 hours. Redeem now!",spam
"Can you pick up my notebook on your way?",not spam
"Get ₹750 cashback with our festive offer!",spam
"Let’s test our code on the lab PCs.",not spam
"Book your free consultation now!",spam
"Group photo is scheduled at 1 PM.",not spam
"You are invited to our investment summit. Free entry!",spam
"I’ve updated the assignment tracker.",not spam
"Your PayTM wallet has been credited. Click to view.",spam
"I left your lunchbox in the common room.",not spam
"Exclusive invite: Business networking event tonight!",spam
"Did you register for the coding event?",not spam
"Top-up today and earn double points!",spam
"I’ll be waiting near the main stairs.",not spam
"You're entitled to a festival gift voucher!",spam
"Let’s meet for a quick revision.",not spam
"Your mobile bill is due. Pay and earn rewards!",spam
"I completed the spreadsheet analysis.",not spam
"Refer your friend and get ₹100 instantly!",spam
"Do you have any plans this weekend?",not spam
"Get free Wi-Fi access for 7 days!",spam
"Can we work on the diagram after lunch?",not spam
"Congratulations! You’ve won a ₹250 gift card!",spam
"I returned the books to the library.",not spam
"Limited-time cashback on your broadband bill!",spam
"Do you want to go over the notes again?",not spam
"Your e-voucher is waiting. Tap to view.",spam
"I dropped the paper in the office inbox.",not spam
"Tap to start earning with zero investment!",spam
"Did you receive the file I sent?",not spam
"Win daily rewards with every scan!",spam
"Let's meet before the workshop begins.",not spam
"Free e-learning content unlocked. Enroll today!",spam
"Please carry your student ID tomorrow.",not spam
"Early bird offer: Flat 40% off all plans!",spam
"Do you want to join me for dinner?",not spam
"Gift unlocked! Open your festive hamper now!",spam
"I uploaded the attendance file just now.",not spam
"Apply now for exclusive hostel discounts!",spam
"Are you going to the lecture at 2 PM?",not spam
"₹300 voucher for your next grocery order!",spam
"Let’s complete our notes in the evening.",not spam
"Verify your ID and get a free SIM upgrade.",spam
"I’ll see you at the bus stop.",not spam
"Get premium access to job listings!",spam
"Can you proofread my draft?",not spam
"₹500 cashback if you book today!",spam
"Your assignment has been uploaded successfully.",not spam
"Install this app and get 10% off fuel!",spam
"Are you joining us for lunch?",not spam
"Click here for a free amazon gift card and add it to your Apple wallet", spam






